ID,Column Name,Category,Sub Category,SF1 Variable,Databook,At A Glance Population,At A Glance Housing,At A Glance Economy
1,pop,Population,Population,P001001,1,1,0,0
2,agebysex_total_series,Population,Sex by Age,P012001,1,1,0,0
3,age_total_male,Population,Sex by Age,P012002,1,1,0,0
4,age_m_u5,Population,Sex by Age,P012003,1,1,0,0
5,age_m_5to9,Population,Sex by Age,P012004,1,1,0,0
6,age_m_10to14,Population,Sex by Age,P012005,1,1,0,0
7,age_m_15to17,Population,Sex by Age,P012006,1,1,0,0
8,age_m_18to19,Population,Sex by Age,P012007,1,1,0,0
9,age_m_20,Population,Sex by Age,P012008,1,1,0,0
10,age_m_21,Population,Sex by Age,P012009,1,1,0,0
11,age_m_22to24,Population,Sex by Age,P012010,1,1,0,0
12,age_m_25to29,Population,Sex by Age,P012011,1,1,0,0
13,age_m_30to34,Population,Sex by Age,P012012,1,1,0,0
14,age_m_35to39,Population,Sex by Age,P012013,1,1,0,0
15,age_m_40to44,Population,Sex by Age,P012014,1,1,0,0
16,age_m_45to49,Population,Sex by Age,P012015,1,1,0,0
17,age_m_50to54,Population,Sex by Age,P012016,1,1,0,0
18,age_m_55to59,Population,Sex by Age,P012017,1,1,0,0
19,age_m_60to61,Population,Sex by Age,P012018,1,1,0,0
20,age_m_62to64,Population,Sex by Age,P012019,1,1,0,0
21,age_m_65to66,Population,Sex by Age,P012020,1,1,0,0
22,age_m_67to69,Population,Sex by Age,P012021,1,1,0,0
23,age_m_70to74,Population,Sex by Age,P012022,1,1,0,0
24,age_m_75to79,Population,Sex by Age,P012023,1,1,0,0
25,age_m_80to84,Population,Sex by Age,P012024,1,1,0,0
26,age_m_85+,Population,Sex by Age,P012025,1,1,0,0
27,age_total_female,Population,Sex by Age,P012026,1,1,0,0
28,age_f_u5,Population,Sex by Age,P012027,1,1,0,0
29,age_f_5to9,Population,Sex by Age,P012028,1,1,0,0
30,age_f_10to14,Population,Sex by Age,P012029,1,1,0,0
31,age_f_15to17,Population,Sex by Age,P012030,1,1,0,0
32,age_f_18to19,Population,Sex by Age,P012031,1,1,0,0
33,age_f_20,Population,Sex by Age,P012032,1,1,0,0
34,age_f_21,Population,Sex by Age,P012033,1,1,0,0
35,age_f_22to24,Population,Sex by Age,P012034,1,1,0,0
36,age_f_25to29,Population,Sex by Age,P012035,1,1,0,0
37,age_f_30to34,Population,Sex by Age,P012036,1,1,0,0
38,age_f_35to39,Population,Sex by Age,P012037,1,1,0,0
39,age_f_40to44,Population,Sex by Age,P012038,1,1,0,0
40,age_f_45to49,Population,Sex by Age,P012039,1,1,0,0
41,age_f_50to54,Population,Sex by Age,P012040,1,1,0,0
42,age_f_55to59,Population,Sex by Age,P012041,1,1,0,0
43,age_f_60to61,Population,Sex by Age,P012042,1,1,0,0
44,age_f_62to64,Population,Sex by Age,P012043,1,1,0,0
45,age_f_65to66,Population,Sex by Age,P012044,1,1,0,0
46,age_f_67to69,Population,Sex by Age,P012045,1,1,0,0
47,age_f_70to74,Population,Sex by Age,P012046,1,1,0,0
48,age_f_75to79,Population,Sex by Age,P012047,1,1,0,0
49,age_f_80to84,Population,Sex by Age,P012048,1,1,0,0
50,age_f_85+,Population,Sex by Age,P012049,1,1,0,0
51,raceeth_total_series,Population,Race and Ethnicity,P003001,1,1,0,0
52,raceeth_total_oneracealone,Population,Race and Ethnicity,P003002,1,1,0,0
53,raceeth_white_alone,Population,Race and Ethnicity,P003003,1,1,0,0
54,raceeth_blackafricanamerican_alone,Population,Race and Ethnicity,P003004,1,1,0,0
55,raceeth_americanindianalaskanative_alone,Population,Race and Ethnicity,P003005,1,1,0,0
56,raceeth_asian_alone,Population,Race and Ethnicity,P003006,1,1,0,0
57,raceeth_nativehawaiianotherpacificislander_alone,Population,Race and Ethnicity,P003007,1,1,0,0
58,raceeth_someotherrace_alone,Population,Race and Ethnicity,P003008,1,1,0,0
59,raceeth_twoormoreraces_alone,Population,Race and Ethnicity,P003009,1,1,0,0
60,raceeth_whitealone_nothispanicorlatino,Population,Race and Ethnicity,P004005,1,1,0,0
61,raceeth_hispanicorlatino,Population,Race and Ethnicity,P004002,1,1,0,0
62,hhsize_avg,Population,Household,P017001,1,1,0,0
63,units_allhousing,Housing,Housing,H001001,1,0,1,0
64,occupancy_total_series,Housing,Occupancy,H003001,1,0,1,0
65,occupancy_occupiedunits,Housing,Occupancy,H003002,1,0,0,0
66,occupancy_vacantunits,Housing,Occupancy,H003003,1,0,0,0
67,tenure_total_series,Housing,Tenure,H004001,1,0,0,0
68,tenure_owneroccunits_mortgage,Housing,Tenure,H004002,1,0,0,0
69,tenure_owneroccunits_nomortgage,Housing,Tenure,H004003,1,0,0,0
70,tenure_renteroccunits,Housing,Tenure,H004004,1,0,0,0
71,hhtype_total_series,Housing,Household Type,P018001,1,0,1,0
72,hhtype_familyhh,Housing,Household Type,P018002,1,0,1,0
73,hhtype_familyhh_marriedcouplefam,Housing,Household Type,P018003,1,0,1,0
74,hhtype_familyhh_otherfam,Housing,Household Type,P018004,1,0,1,0
75,hhtype_familyhh_malenospouse,Housing,Household Type,P018005,1,0,1,0
76,hhtype_familyhh_femalenospouse,Housing,Household Type,P018006,1,0,1,0
77,hhtype_nonfamhh,Housing,Household Type,P018007,1,0,1,0
78,hhtype_nonfamhh_householderalone,Housing,Household Type,P018008,1,0,1,0
79,hhtype_nonfamhh_householdernotalone,Housing,Household Type,P018009,1,0,1,0
