ID,Data Point,Column Name,Category,Sub Category,SF3 Variable
1,Total for Poverty Status in the Past 12 Months by Sex by Age,poverty_total_bysexbyage_series,Population,Poverty,P087001
2,Income in the Past 12 Months Below Poverty Level,poverty_belowlevel,Population,Poverty,P087002
3,Total for Units in Structure,units_total_series,Housing,Units in Structure,H030001
4,1 Detached Unit in Structure,units_one_detached,Housing,Units in Structure,H030002
5,1 Attached Unit in Structure,units_one_attached,Housing,Units in Structure,H030003
6,2 Units in Structure,units_two,Housing,Units in Structure,H030004
7,3 or 4 Units in Structure,units_threetofour,Housing,Units in Structure,H030005
8,5 to 9 Units in Structure,units_fivetonine,Housing,Units in Structure,H030006
9,10 to 19 Units in Structure,units_tentonineteen,Housing,Units in Structure,H030007
10,20 to 49 Units in Structure,units_twentytofortynine,Housing,Units in Structure,H030008
11,50 or More Units in Structure,units_fiftyormore,Housing,Units in Structure,H030009
12,Mobile Home Unit,units_mobilehome,Housing,Units in Structure,H030010
13,"Boat, RV, Van etc. Unit",units_boatrvvanetc,Housing,Units in Structure,H030011
14,Median Household Income,hhincome_median,Housing,Housing,HCT012001
15,Total Mortgage Status by Selected Monthly Owner Cost as a Percentage of Household Income in the Past 12 Months Series,housingcost_total_selectedownercosts%hhincome_series,Housing,Cost Burden,H094001
16,Total Percent Owner Costs with a Mortgage Series,housingcost_total%ownercostwmortgage_series,Housing,Cost Burden,H094002
17,Housing Units with a Mortgage 30 to 34.9 Percent,housingcost_%ownercost30to34.9_wmortgage,Housing,Cost Burden,H094008
18,Housing Units with a Mortgage 35 to 39.9 Percent,housingcost_%ownercost35to39.9_wmortgage,Housing,Cost Burden,H094009
19,Housing Units with a Mortgage 40 to 49.9 Percent,housingcost_%ownercost40to49.9_wmortgage,Housing,Cost Burden,H094010
20,Housing Units with a Mortgage 50 or More Percent,housingcost_%ownercost50+_wmortgage,Housing,Cost Burden,H094011
21,Total Percent Owner Costs without a Mortgage Series,housingcost_total%ownercostwomortgage_series,Housing,Cost Burden,H094013
22,Housing Units without a Mortgage 30 to 34.9 Percent,housingcost_%ownercost30to34.9_womortgage,Housing,Cost Burden,H094019
23,Housing Units without a Mortgage 35 to 39.9 Percent,housingcost_%ownercost35to39.9_womortgage,Housing,Cost Burden,H094020
24,Housing Units without a Mortgage 40 to 49.9 Percent,housingcost_%ownercost40to49.9_womortgage,Housing,Cost Burden,H094021
25,Housing Units without a Mortgage 50 or More Percent,housingcost_%ownercost50+_womortgage,Housing,Cost Burden,H094022
26,Total Gross Rent as Percentage of Household Income in Past 12 Months Series,housingcost_total_rent%hhincome_series,Housing,Cost Burden,H069001
27,Gross Rent 30 to 34.9 Percent of Household Income,housingcost_%rentercost30to34.9,Housing,Cost Burden,H069007
28,Gross Rent 35 to 39.9 Percent of Household Income,housingcost_%rentercost35to39.9,Housing,Cost Burden,H069008
29,Gross Rent 40 to 49.9 Percent of Household Income,housingcost_%rentercost40to49.9,Housing,Cost Burden,H069009
30,Gross Rent 50 Percent or More of Household Income,housingcost_%rentercost50+,Housing,Cost Burden,H069010
31,Median Value for Owner Occupied Units,housingcost_medvalue_ownerocc,Housing,Home Value,H076001
32,Median Gross Rent Renter Occupied,housingcost_mediangrossrent_renteroccupied,Housing,Home Value,H063001
33,Total Year Structure Built Series,structures_total_yearbuilt_series,Housing,Year Structure Built,H034001
34,Structures Built 1999 to 2000,structures_built1999to2000,Housing,Year Structure Built,H034002
35,Structures Built 1995 to 1998,structures_built1995to1998,Housing,Year Structure Built,H034003
36,Structures Built 1990 to 1994,structures_built1990to1994,Housing,Year Structure Built,H034004
37,Structures Built 1980 to 1989,structures_built1980to1989,Housing,Year Structure Built,H034005
38,Structures Built 1970 to 1979,structures_built1970to1979,Housing,Year Structure Built,H034006
39,Structures Built 1960 to 1969,structures_built1960to1969,Housing,Year Structure Built,H034007
40,Structures Built 1950 to 1959,structures_built1950to1959,Housing,Year Structure Built,H034008
41,Structures Built 1940 to 1949,structures_built1940to1949,Housing,Year Structure Built,H034009
42,Structures Built 1939 or Earlier,structures_built1939orearlier,Housing,Year Structure Built,H034010
43,Hold,structures_medianyearbuilt,Housing,Year Structure Built,H035001
44,Total Means of Transportation to Work Series,commute_total_meansoftransportationtowork_series,Transportation,Commute,P030001
45,Car Truck or Van Commute,commute_cartruckvan,Transportation,Commute,P030002
46,Car Truck or Van Drove Alone Commute,commute_cartruckvan_drovealone,Transportation,Commute,P030003
47,Car Truck or Van Carpooled Commute,commute_cartruckvan_carpooled,Transportation,Commute,P030004
48,Public Transportation Excluding Taxicab Commute,commute_publictransportation,Transportation,Commute,P030005
49,Public Transportation Bus Commute,commute_publictransportation_bus,Transportation,Commute,P030006
50,Public Transportation Subway or Elevated Rail Commute,commute_publictransportation_subwayorelevatedrail,Transportation,Commute,P030008
51,Public Transportation Long Distance Train or Commuter Rail Commute,commute_publictransportation_longdistancetrainorcommuterrail,Transportation,Commute,P030009
52,Public Transportation Light Rail Streetcar or Trolley Commute,commute_publictransportation_lightrailstreetcarortrolley,Transportation,Commute,P030007
53,Public Transportation Ferryboat Commute,commute_publictransportation_ferryboat,Transportation,Commute,P030010
54,Bicycle Commute,commute_bicycle,Transportation,Commute,P030013
55,Walked Commute,commute_walk,Transportation,Commute,P030014
56,Taxi Cab Commute,commute_taxicab,Transportation,Commute,P030011
57,Motorcycle Commute,commute_motorcycle,Transportation,Commute,P030012
58,Commute by Other Means,commute_othermeans,Transportation,Commute,P030015
59,Commute Worked from Home,commute_workedfromhome,Transportation,Commute,P030016
60,Vehicles per Household by Tenure Total Series,vehicles_tenurebyvehicles_total_series,Transportation,Vehicles,H044001
61,Vehicles per Household Owner Occupied No Vehicles,vehicles_ownerocc_novehicle,Transportation,Vehicles,H044003
62,Vehicles per Household Owner Occupied 1 Vehicle,vehicles_ownerocc_1vehicle,Transportation,Vehicles,H044004
63,Vehicles per Household Owner Occupied 2 Vehicles,vehicles_ownerocc_2vehicles,Transportation,Vehicles,H044005
64,Vehicles per Household Owner Occupied 3 Vehicles,vehicles_ownerocc_3vehicles,Transportation,Vehicles,H044006
65,Vehicles per Household Owner Occupied 4 Vehicles,vehicles_ownerocc_4vehicles,Transportation,Vehicles,H044007
66,Vehicles per Household Owner Occupied 5 Vehicles,vehicles_ownerocc_5+vehicles,Transportation,Vehicles,H044008
67,Vehicles per Household Renter Occupied No Vehicles,vehicles_renterocc_novehicle,Transportation,Vehicles,H044010
68,Vehicles per Household Renter Occupied 1 Vehicle,vehicles_renterocc_1vehicle,Transportation,Vehicles,H044011
69,Vehicles per Household Renter Occupied 2 Vehicles,vehicles_renterocc_2vehicles,Transportation,Vehicles,H044012
70,Vehicles per Household Renter Occupied 3 Vehicles,vehicles_renterocc_3vehicles,Transportation,Vehicles,H044013
71,Vehicles per Household Renter Occupied 4 Vehicles,vehicles_renterocc_4vehicles,Transportation,Vehicles,H044014
72,Vehicles per Household Renter Occupied 5 Vehicles,vehicles_renterocc_5+vehicles,Transportation,Vehicles,H044015
73,Total Foreign Born Place of Birth Series,foreignborn_total,Population,Diversity,PCT019001
74,Europe,fb_europe,Population,Diversity,PCT019002
75,"Europe, Northern Europe",fb_eur_northern,Population,Diversity,PCT019003
76,"Europe, Northern Europe, Ireland",fb_eur_n_ireland,Population,Diversity,PCT019005
77,"Europe, Northern Europe, UK",fb_eur_n_uk,Population,Diversity,PCT019004
78,"Europe, Northern Europe, Other",fb_eur_n_other,Population,Diversity,PCT019007
79,"Europe, Western Europe ",fb_eur_western,Population,Diversity,PCT019008
80,"Europe, Western Europe, Austria",fb_eur_w_austria,Population,Diversity,PCT019009
81,"Europe, Western Europe, France",fb_eur_w_france,Population,Diversity,PCT019010
82,"Europe, Western Europe, Germany",fb_eur_w_germany,Population,Diversity,PCT019011
83,"Europe, Western Europe, Netherlands",fb_eur_w_netherlands,Population,Diversity,PCT019012
84,"Europe, Western Europe, Other",fb_eur_w_other,Population,Diversity,PCT019013
85,"Europe, Southern Europe",fb_eur_southern,Population,Diversity,PCT019014
